Freq_Inf,Sim_inf_gnd_77,Freq_68mm,Sim_finite_gnd_68,Freq_82mm,Sim_finite_gnd_82,Freq_None,Meas_no_ground,Freq_PCB,Meas_PCB_ground
876.130653266332,-10.8961627145343,876.130653266332,-12.5506268961212,876.130653266332,-8.58259039337711,841.7672,-8.914618,902,-10.3496997750486
876.78391959799,-10.982007927076,876.78391959799,-12.6381074355718,876.78391959799,-8.53095577894485,842.8852,-9.436217,903.3,-10.6572054615387
877.437185929648,-11.0680861738118,877.437185929648,-12.7257574179637,877.437185929648,-8.47989902049793,843.327,-9.209193,904.6,-10.9381515802208
878.090452261306,-11.154371049155,878.090452261306,-12.8135506969956,878.090452261306,-8.42941117236066,844.062,-9.804003,905.9,-11.275424366342
878.743718592965,-11.2408345016254,878.743718592965,-12.9014595860572,878.743718592965,-8.37948347798679,845.3172,-10.384,907.2,-11.7406678527087
879.396984924623,-11.32744676531,879.396984924623,-12.9894547978951,879.396984924623,-8.33010736472817,846.1254,-10.93905,908.5,-12.1452685377661
880.050251256281,-11.414176290852,880.050251256281,-13.077505384185,880.050251256281,-8.28127443878083,847.1898,-11.41953,909.8,-12.3948456540354
880.70351758794,-11.5009896763079,880.70351758794,-13.1655786753358,880.70351758794,-8.23297648030188,848.0424,-11.94636,911.1,-12.4600089689256
881.356783919598,-11.5878515982668,881.356783919598,-13.2536402209008,881.356783919598,-8.18520543869041,849.2313,-12.82615,912.4,-12.5243703958079
882.010050251256,-11.6747247436802,882.010050251256,-13.3416537310115,882.010050251256,-8.13795342802586,850.5093,-13.29832,913.7,-12.6773962221269
882.663316582915,-11.7615697429066,882.663316582915,-13.4295810193052,882.663316582915,-8.09121272265811,851.1484,-13.82141,915,-12.7722297704043
883.316582914573,-11.8483451045402,883.316582914573,-13.5173819478673,883.316582914573,-8.04497575294319,852.2803,-14.06899,916.3,-12.7068596368167
883.969849246231,-11.935007152658,883.969849246231,-13.6050143747663,883.969849246231,-7.99923510111909,853.2349,-14.63576,917.6,-12.6599913047792
884.623115577889,-12.021509967187,884.623115577889,-13.6924341048166,884.623115577889,-7.95398349731638,853.8635,-14.26277,918.9,-12.5544052457001
